0.5036 0.0883 0.2310 -0.2931 0.1774 0.0412	-1.0663 -2.8748 -0.3260 3.8570 0.6211 -0.1202	-0.4663 -0.3540 -0.4523 -0.2131 -0.1594 -1.1429	-0.6299 -0.8019 0.9626 -0.5060 -0.7601 0.1257	0.1121 -1.0750 2.5817 -0.0471 -1.1192 -0.7144	0.1409 0.0907 -0.5844 -0.4427
-0.9242 0.4312 0.1839 0.2837 0.2488 -1.0221	0.8503 -0.1876 0.3977 0.4869 -0.1081 0.2176	0.2830 0.0712 -1.0483 2.4526 -1.9327 -2.5290	0.3109 -0.5435 0.5744 0.5481 0.5159 0.0740	-0.1722 -0.0698 -0.0885 -0.4236 -0.6717 0.2316	-0.2986 0.1705 -0.6684 -2.3418
-0.6392 1.2365 -0.2634 0.5410 -0.7517 0.2069	0.7357 -0.4518 0.2829 -0.8312 -0.5438 0.1967	0.6525 -1.1671 0.1111 0.5531 -0.9937 -0.0233	0.4972 -0.7431 0.2541 0.1211 0.2448 0.5393	1.6312 -0.5594 -0.6056 -0.6616 -0.9258 -0.2570	0.4558 0.7067 0.4396 0.7584
-0.0761 0.3068 0.4106 -0.6227 0.3769 0.0318	-0.2694 0.9762 0.7630 0.3660 -0.2372 0.1075	-0.4657 -0.3042 -0.1157 0.8843 -1.4302 -0.6452	0.1810 -0.8553 -0.5982 -0.5652 0.8185 -0.1100	-0.3650 -0.3631 0.5554 -0.3299 -0.7807 -1.1263	0.7644 0.0218 -1.0671 -0.8566
-0.4123 -0.4372 -1.6356 1.6283 1.1726 -0.5460	1.2066 0.0766 0.0618 0.6490 -0.3493 -0.5358	-0.5004 -0.2048 -0.3366 -0.9707 -1.0095 -0.4024	-0.8765 -0.5491 -0.3288 0.1862 -0.2005 0.2267	0.0025 0.5185 -0.9153 -1.1409 0.5830 0.2309	-0.7179 -0.5686 0.4352 -0.5809
0.4538 0.8808 -0.2209 1.2357 0.2507 -1.0785	0.4078 -0.1123 -0.7270 -0.9318 0.4604 -0.2821	0.7920 0.5203 0.4340 -0.4740 0.5646 0.1475	-0.2128 -0.0606 -0.2442 0.6846 -0.6261 -0.5961	0.7391 -1.2832 1.2581 0.7145 -0.5273 0.9217	0.8315 0.4608 0.2704 0.3771
-0.1997 -0.3960 0.2557 1.6023 -1.0622 0.0380	
